IDE;Text;kategori
741;"Pada XXXX XXXX 2015 (Senin, XXXX/XXXX/15), saya menjadi korban pencurian identitas pada rekening giro pribadi saya dari Bank Daerah. Akun saya ditipu sebesar {$500.00}. Selain itu, karena ATM yang digunakan untuk transaksi penipuan dioperasikan oleh XXXX, akun saya dipotong sebesar {$4,00} biaya penggunaan ATM dari XXXX, {$2,00} biaya penggunaan ATM dari Wilayah, dan {$2,00} biaya verifikasi saldo rekening dari Wilayah . Secara keseluruhan, rekening giro pribadi saya dari Daerah telah ditipu sebesar {$500,00}. Setelah mengetahui bahwa saya adalah korban pencurian identitas, saya segera menghubungi Bank Daerah dan memberi tahu mereka tentang penipuan tersebut. Saya menjelaskan kepada Daerah bahwa kartu debit saya adalah milik saya sepanjang waktu, tidak pernah dicuri/hilang, dan tidak pernah diberikan kepada orang lain untuk digunakan. Baik dengan skimming atau perangkat atau teknik peretasan kartu lainnya, kartu dan pin saya telah disusupi dan digunakan di ATM lokal untuk pencurian. Saya diinstruksikan oleh Region untuk memusnahkan kartu debit yang saya miliki saat ini karena kartu tersebut akan dibatalkan di sistem Region. Per Bank Daerah, kartu baru akan dikirimkan kepada saya dan transaksi penipuan akan ditandai dan diselidiki. Saya diperintahkan untuk mampir ke cabang Bank Daerah setempat untuk menandatangani formulir yang diperlukan, termasuk pernyataan tertulis, yang memverifikasi bahwa penarikan tersebut memang merupakan transaksi penipuan. Ketika ini terjadi pada XXXX XXXX, bank-bank tutup. Keesokan paginya (Selasa, XXXX/XXXX/15), saya mampir ke cabang XXXX di XXXX, LA untuk mengisi formulir. Saya menghubungi Bank Daerah pada Jumat pagi, XXXX/XXXX/15 untuk menanyakan tentang penyelidikan yang tertunda. Saya diberitahu bahwa klaim saya ditolak untuk pengembalian dana yang dicuri karena ini adalah penarikan ATM dan, menurut Wilayah, satu-satunya cara untuk menarik uang adalah dengan menggunakan kartu dan pin saya. Selain itu, karena saya berada di daerah '' ( XXXX XXXX bukanlah kota yang besar ), klaim saya ditolak. Pemberitahuan akan dikirimkan kepada saya dan segera tiba menjelaskan penolakan mereka terhadap klaim tersebut. Investigasi mereka '' memakan waktu kurang dari 2 hari kerja. Saya meminta mereka untuk melihat rekaman video ATM penarikan tersebut untuk memverifikasi identitas orang sebenarnya yang melakukan kejahatan tersebut. Per Daerah, seperti yang terjadi di lokasi XXXX, mereka tidak dapat meninjau rekaman ATM kecuali departemen kepolisian setempat melakukan penyelidikan dan menerima rekaman video tersebut; untuk kemudian diserahkan kepada Bank Daerah. Pada saat itulah, beberapa hari kemudian, bank menyarankan saya untuk menghubungi departemen kepolisian dan membuat laporan polisi. Saat ini, masalah tersebut sedang diselidiki oleh XXXX karena kejahatan tersebut terjadi di XXXX XXXX, LA. Saya mengajukan keluhan ini karena beberapa alasan:1. Bank Daerah menyarankan saya untuk menghubungi polisi setempat SETELAH penyelidikan mereka dan penolakan klaim. Jika laporan polisi merupakan bagian penting dalam penyelidikan penipuan bank, maka konsumen dan korban pencurian identitas harus diberi tahu saat melaporkan penipuan. 2. Daerah tampaknya tidak mengikuti perkembangan terkini mengenai teknik penipuan dan, dengan demikian, tidak dapat memberikan perlindungan konsumen yang memadai. 3. Saya tidak berbisnis dengan XXXX. Jika Region dan XXXX mengizinkan pemegang rekening untuk mengakses dana menggunakan ATM satu sama lain, mereka seharusnya dapat bertukar informasi mengenai kasus penipuan atau kejahatan keuangan lainnya. 4. Sepanjang proses klaim, saya diperlakukan seperti pelaku, bukan korban. Saya diberitahu oleh beberapa rekanan Daerah (nama dirahasiakan) bahwa karena penarikan dilakukan di ATM, orang yang mengakses dana tersebut pastilah saya. Saya diberitahu bahwa ketika saya berada di area tersebut '', kemungkinan besar penipuan itu dilakukan oleh saya. Satu-satunya cara agar saya, sebagai korban, dapat mengharapkan perlindungan konsumen dan restitusi pada tingkat apa pun adalah dengan melakukan kerja keras bank: Memberikan data, menghubungi XXXX untuk meminta pelepasan rekaman video ke polisi, dan bertindak sebagai perantara antara bank-bank.";Fraud
742;Saya mulai menerima korespondensi dari bank pada XXXX tahun 2015 yang menyatakan bahwa saya memiliki biaya cerukan. Saya segera membuka laporan bank saya secara online untuk mencari tahu apa yang terjadi. Saya perhatikan bahwa saya mendapat tagihan dari XXXX dan XXXX XXXX. Saya menghubungi bank dan memberi tahu mereka bahwa tagihan tersebut tidak sah dan saya tidak mengerti mengapa saya dikenakan biaya cerukan dari mereka untuk tagihan yang tidak sah. Mereka meminta saya untuk menghubungi perusahaan tersebut dan melihat apakah tagihan saya dapat dikembalikan ke rekening saya. Saya diberitahu bahwa jika perusahaan mengembalikan biaya tersebut, biaya cerukan akan dikembalikan ke rekening saya. Pada XXXX XXXX dan XXXX XXXX XXXX XXXX dan XXXX mengembalikan sebagian besar tagihan. Hari ini saya menelepon bank saya agar biaya dana yang tidak mencukupi dikembalikan ke rekening saya dan ditahan beberapa kali dengan hasil akhir diberitahu bahwa saya harus menerima panggilan balasan. Ketika agen, XXXX, membalas telepon saya, dia berkata bahwa dia telah berbicara dengan atasannya yang memberi tahu dia untuk memberi tahu saya bahwa mereka tidak akan mengembalikan biaya cerukan yang tidak mencukupi karena perusahaan telah mengembalikan biaya tersebut. Saya tidak melihat betapa adilnya hal ini karena ini bukan kesalahan saya. Saya mengikuti prosedur yang diberikan kepada agen saya di XX/XX/XXXX. Perusahaan memang memberikan penggantian. Bank lah yang membolehkan penagihan meskipun saya tidak mengizinkan penagihan tersebut.;Fraud
743;"Pada XXXX XXXX, 2015, di XXXX saya mencoba menyetor uang tunai sebesar {$550,00} ke ATM yang terletak di luar Chase Bank di XXXX, NY. Uang tersebut ditarik ke dalam ATM dengan imbalan tanda terima yang menyatakan ATM mengalami gangguan teknis. Untuk mengonfirmasi bahwa setoran Anda telah diselesaikan dengan benar, hubungi Perwakilan Chase... '' Saya segera pergi ke bank dan berbicara dengan XXXX XXXX. Saya diberikan Nomor Klaim dan diminta untuk menindaklanjutinya dalam tiga minggu. Pada XXXX XXXX 2015, saya kembali ke bank dan berbicara dengan XXXX '' dan diberitahu bahwa klaim saya telah ditolak. XXXX diserahkan kepada Manajer Bank ( XXXX XXXX XXXX dan saya sekali lagi diminta untuk menindaklanjuti; namun XXXX menyatakan ragu '' bahwa saya akan menerima uang saya karena begitu banyak waktu telah berlalu. Pengacara saya menghubungi XXXX XXXX dan XXXX XXXX menunjukkan bahwa saya perlu mengajukan pengaduan melalui Departemen Sengketa di Chase - sesuatu yang tidak pernah diberitahukan kepada saya dalam dua kesempatan terpisah saat mencoba menyelesaikan masalah ini secara langsung. Saya telah mencoba menyelesaikannya melalui pengacara pribadi saya, namun tidak satu pun dari kami yang menerimanya tanggapan.";Fraud
744;Saya melakukan bank dengan WellsFargo dan mereka terus-menerus membebankan biaya NSF kepada saya secara tidak sah. Saya mendapat kiriman debit ke akun saya pada XX/XX/XXXX dan kemudian entah bagaimana saya dikenakan biaya bulanan XXXX dolar dan kemudian mereka menagih saya biaya NSF setelah pembayaran sudah dikirim. Mereka terus-menerus mengkredit uang tunai setelah mendebit rekening saya. Teller bank sebenarnya memberi saya XXXX dolar lebih sedikit ketika saya melakukan penarikan di bank beberapa hari yang lalu. Bank ini hanyalah sekelompok pencuri!;Fraud
745;Regions Bank secara keliru melaporkan rekening bank negatif atas nama saya ke XXXX dan mungkin XXXX, meskipun mereka telah diberitahu berkali-kali tentang pencurian identitas yang sedang saya perjuangkan selama lebih dari 8 tahun, dan meskipun faktanya mereka sepenuhnya menyadarinya peringatan penipuan dan keamanan saya serta pengajuan kebangkrutan baru-baru ini. Saya telah melakukan beberapa upaya untuk menyelesaikan masalah ini dan saya sangat bosan dengan hal ini yang mengganggu saya ketika saya ingin membuka rekening keuangan baru. Ini memalukan dan membuat frustrasi. Bank ini memiliki layanan pelanggan yang buruk, tidak responsif terhadap pertanyaan/keluhan konsumen dan tidak melakukan apa pun untuk menyelesaikan masalah besar seperti ini. Saya ingin item ini dihapus dari XXXX, XXXX, XXXX, XXXX, XXXX dan XXXX, serta agensi lain mana pun yang mengumpulkan informasi pribadi konsumen, tanpa sepengetahuan konsumen tersebut, tanpa verifikasi validitas apa pun dan yang berdampak signifikan dan negatif terhadap konsumen. ' kehidupan finansial sehari-hari. Bank, biro pelaporan kredit, dan lembaga pencatatan rekening keuangan adalah predator dalam industri jasa keuangan dan saya ingin mereka bertanggung jawab atas aktivitas bisnis mereka yang tidak etis dan ilegal. Paling tidak, saya ingin ada asosiasi nama saya, nomor jaminan sosial, informasi rekening keuangan, nomor SIM, nomor identitas negara, alamat dulu dan sekarang, tanggal dan lokasi lahir, kerabat, teman, mantan pasangan, dan informasi pengenal pribadi lainnya yang terkait harus segera dihapus, secara permanen, dari catatan, file, basis data, dan arsip hiu-hiu ini. Mereka menghancurkan kehidupan.;Fraud
746;Saya bekerja dengan agen Anda dalam kasus yang Anda rujuk ke Kantor Pengawas Keuangan Mata Uang (OCC), tetapi Anda tidak pernah memberi saya nomor kasus untuk kasus saya di sana. Saya percaya perusahaan ini, kartu RUSH memasukkan saya ke dalam SCAM jadi saya perlu mendiskusikannya dengan mereka atau dengan Anda untuk memberi tahu Anda perkembangan baru saya mengenai masalah yang sama. Apa yang harus saya lakukan sekarang untuk memberikan informasi terbaru saya? Saya TIDAK ingin kasus saya ditutup karena perkembangan baru! SILAKAN!!;Fraud
747;Uang diambil secara tidak sah dan curang dari rekening bank anggota keluarga yang saat itu sedang sakit parah dan kini telah meninggal. Rekening banknya melalui Bank of America... Bisakah tanggal dan waktu transaksi diambil? dan sebenarnya orang atau orang-orang yang dengan curang mengambil dana dari rekening tersebut?;Fraud
748;Saya diberitahu bahwa saya adalah korban pencurian identitas ketika batas kartu kredit saya diturunkan dari {$30000.00} menjadi {$2500.00}. Akun yang menunggak adalah denganDiscover. Sudah tiga minggu dan saya belum mendapat kerja sama dengan mereka untuk menghapus akun ini dari laporan kredit saya. Saya tetap saja, setelah tiga minggu belum menerima pernyataan tertulis untuk dilengkapi, mereka masih menggunakan informasi palsu ketika saya menelepon untuk mengonfirmasi identitas saya guna memeriksa kemajuan dalam penyelidikan dan tidak akan memberikan informasi apa pun kepada saya. Saya diberitahu oleh satu orang bahwa pernyataan tertulis dikirimkan ke alamat yang digunakan untuk membuka rekening, yang berada di negara bagian lain, dan bukan kepada saya. Saya merasa tidak mendapat rasa hormat, tidak mau bekerja sama, dan tidak mendapat bantuan dalam hal ini, padahal mereka bersalah karena membuka rekening dengan informasi yang tidak akurat. Mereka mengatakan kepada saya bahwa tidak ada dokumentasi kapan saya menelepon untuk mengajukan pertanyaan. DISCOVER tidak mengambil tanggung jawab/akuntabilitas apa pun untuk ini. Saya merasa seolah-olah saya diperlakukan sebagai pihak yang bersalah ketika saya tidak bersalah dan berusaha membersihkan laporan kredit saya, yang telah menjadi bintang hingga kejadian ini.;Fraud
749;Apakah bank diperbolehkan mengirimkan cek ke rekening koran sebelum disetorkan meskipun keduanya diposkan pada hari yang sama? First Niagara Bank melakukan ini dan menurut saya ini hanyalah cara untuk mendapatkan biaya tambahan untuk diri mereka sendiri. Kemarin cek Jaminan Sosial saya telah diposting dan saya memiliki saldo yang tersedia sebesar XXXX setelah semuanya dikeluarkan. Ketika saya melihat rekening saya hari ini, mereka mengirimkan cek dan menagih saya XXXX meskipun saldo saya jauh lebih tinggi daripada cek XXXX yang dikirimkan pada hari yang sama. Bank ini adalah sekelompok pencuri. Saya hidup dengan Jaminan Sosial dan saya pernah mengalami saat-saat ketika saya melakukan penarikan berlebih dan saya tahu itu adalah kesalahan saya, tetapi memanipulasi angka demi keuntungan mereka sendiri adalah hal yang salah.;Fraud
750;salah satu keuangan utama melakukan penyelidikan terhadap laporan kredit XXXX XXXX dan XXXX saya tanpa izin saya, dan saya bahkan tidak dapat mengetahui siapa perusahaan atau bank ini;Fraud
751;Membuka akun bisnis di cabang Wells Fargo XXXX XXXX 4 tahun yang lalu. Akun dibuka dengan individu XXXX di akun ini sebagai pemilik. Kami menjelaskan kepada bank bahwa kami memiliki kemitraan dan menyajikan makalah kemitraan kami kepada mereka untuk informasi umum. Kami juga memberi tahu mereka bahwa akun ini hanya milik individu XXXX dalam kemitraan tersebut. Setelah memiliki rekening ini selama empat tahun, kami melihat ada kartu atm yang menarik dana dari rekening kami selama beberapa bulan terakhir tanpa izin kami. Kami memberi tahu bank dan membekukan rekening serta menanyakan siapa yang menarik dana. Mereka memberi tahu kami bahwa XXXX dari mitra XXXX dalam kemitraan tersebut yang seharusnya tidak ada dalam akun tersebut. Bank juga menjelaskan bahwa mitra-mitra ini sudah memiliki rekening sejak pembukaan rekening. Kami meminta bank untuk memberikan kami dokumen asli yang hanya memiliki dua tanda tangan dan semua informasi mengenai kepemilikan sebenarnya. Manajer tidak dapat menemukannya, begitu pula kantor eksekutif. Saya meminta surat tertulis dari manajer di XXXX XXXX serta kantor eksekutif mengenai bagaimana saya dapat memperoleh informasi kebijakan tentang bagaimana catatan awal disimpan dan bagaimana pemilik akun mendapatkannya. Saya juga bertanya apakah ada kebijakan bahwa individu dapat masuk ke akun tanpa tanda tangan atau sepengetahuan pemilik utama. Mereka tidak punya jawaban dan tidak memberi saya informasi tertulis apa pun mengenai kebijakan bank. Saya mengatakan kepada para bankir bahwa tujuan utama saya adalah mencari tahu bagaimana memperjelas situasi ini dan mengambil kembali semua dana yang diambil tanpa izin kami. Sekali lagi mereka berkata bahwa mereka tidak dapat memberikan apa pun yang saya minta.;Fraud
752;Saya menjadi korban pencurian IF sejak XXXX 2012 dan berada di bank di Bank of America. Semuanya baik-baik saja sampai saya memutuskan untuk mengganti bank saya dan memilih XXXX karena penerapan kenaikan tarif salah sesuai ketentuan saya jadi saya meminta mereka untuk menutup rekening saya. Mereka menutup cek saya tetapi mengatakan kami dapat menutup tabungan Anda seperti alasannya dan mereka mengatakan Anda berhutang XXXX dolar yang membuat Anda sangat takut dan pergi membuat laporan polisi, mendapatkan pernyataan tertulis FTC dan pernyataan tertulis pencurian identitas dan diajukan ke notaris. Kemudian saya menyerahkannya ke BOA tetapi bahkan memberi tahu mereka bahwa saya adalah korban IDTheft mereka telah menjual hitungan saya tanpa menyelesaikan perwakilan saya dan memberi saya XXXX saya kembali, mereka telah melanggar hak saya dan saya mendapat kelas XXXX per 5 hari dari FTC XXXX. Saya mengirimi mereka semua penjelasan dengan bukti dan menyimpulkan bahwa saya tidak bertanggung jawab atas XXXX dolar itu dan mengirim kasus itu kembali ke bank Amerika tetapi sudah 4 tahun saya meminta mereka untuk melepaskan saya dari XXXX dan sekarang akhirnya saya akan menuntut mereka dengan asuransi yang saya beli sebesar XXXX dolar dengan semua biro XXXX. Saya memenangkan kasus ini dan mereka masih belum menghapusnya dari XXXX.;Fraud
753;Saya pergi ke Suntrust Bank untuk memesan Cek dan teller mulai menanyakan semua pertanyaan ini dan saya berasumsi itu untuk menyampaikan informasi yang benar pada cek tersebut. Dia tidak pernah menanyakan apa pun kepada saya tentang pengajuan kartu kredit. seminggu kemudian saya menelepon untuk mengetahui pesanan cek saya karena saya belum menerimanya. Mereka menyuruh saya kembali ke bank untuk melihat pesanan tersebut dan mereka memberi tahu saya bahwa tidak ada cek yang dipesan. Seminggu kemudian saya menerima surat melalui pos yang menolak permohonan kartu kredit dari Suntrust Bank. Saya membawa surat itu ke bank untuk menemui teller. Teller yang seharusnya memesankan cek untuk saya tidak ada di sana dan seorang perwakilan menerima keluhan saya. Dia menjelaskan bahwa manajerlah yang mengajukan permohonan kartu kredit atas nama saya. Perwakilan tersebut menerima keluhan saya dan menjelaskan bahwa manajer tidak mempunyai wewenang untuk mengajukan kartu kredit atas nama saya atau untuk saya, karena dia bukan perwakilan penjualan. Saya kemudian menelepon layanan pelanggan bank dan mengajukan keluhan kepada mereka. Kemudian pada hari itu saya mencoba menggunakan salah satu kartu kredit saya dan ditolak dan kredit tersedia di dalamnya. Hal ini mungkin memiliki efek riak pada kredit saya dengan kreditor saya;Fraud
754;Saya adalah korban pencurian identitas. Informasi pribadi saya dicuri dan digunakan untuk membuka rekening kredit di Bank of America. Saya tidak pernah menerima laporan tagihan atau mengetahui keberadaan rekening ini sampai saya memeriksa laporan kredit saya. Saya segera memberi tahu Bank of America bahwa rekening tersebut bukan milik saya dan saya adalah korban pencurian identitas. Saya juga memberi tahu polisi dan mengajukan laporan pencurian identitas dan melaporkan pencurian tersebut. Saya mengajukan Pencurian ID saya ke Komisi Perdagangan Federal dan ketika Bank of America mengirimkan dokumen saya, alamat penagihan bahkan tidak cocok dengan alamat saya atau nama rekening. Bank of America terus-menerus menelepon dan mencoba menagih rekening kredit ini yang bukan milik saya dan merupakan hasil dari pencurian ID. Mereka juga melaporkan akun palsu yang mereka ketahui adalah penipuan kepada biro kredit dan telah memverifikasinya ketika saya membantahnya.;Fraud
755;Sekali lagi, saya tinggal di XXXX dari : XX/XX/XXXX, hingga XX/XX/XXXX. SEMUA Agen Kredit XXXX melaporkan ALAMAT saya sejak WAKTU ITU... (HAMPIR 5 TAHUN), karena saya MASIH TINGGAL DI XXXX! Bagaimana saya bisa hidup XXXX, memiliki ALAMAT (HIDUP), DI AMERIKA SERIKAT? Harap memiliki SEMUA Agen Kredit XXXX, hapus semua ALAMAT SEBELUMNYA, dari jangka waktu tersebut .... ( XX/XX/XXXX s/d XX/XX/XXXX ). Pastikan juga SEMUA LEMBAGA KREDIT XXXX melepas ''AFNI COLLECTION AGENCY'' laporan PENIPUAN.... ( sudah mengajukan laporan atau klaim ke Agensi Anda : # XXXX ). SAYA MEMBAYAR XXXX XXXX XXXX Ponsel '' ini, melalui '' B.B. T. Bank '', XX/XX/XXXX ... .untuk : $ XXXX-Dolar. Meskipun saya telah melunasinya, (walaupun saya ''TIDAK'' berhutang). Setelah saya mengetahui bahwa saya TIDAK BERHUTANG TAGIHAN INI, SAYA MEMINTA BANK SAYA UNTUK MENGEMBALIKAN UANG SAYA SEBESAR $ XXXX-Dolar ... yang belum mereka lakukan. Saya telah mengajukan Sengketa dengan ''B.B. T. Bank '', untuk jumlah di atas. Walaupun saya sudah bayar PENIPUAN ini... .. ''XXXX'' MASIH MELAPORKAN INI DI XXXX ''XXXX'', karena masih ada di Rekening saya, (sebagai DIBAYAR ATAU DITUTUP), TETAPI MASIH CATAT'' PENIPUAN INI '', di XXXX saya di atas Agen Kredit. Saya meminta '' XXXX '' untuk menghapus PENIPUAN INI DARI SEMUA LEMBAGA KREDIT XXXX, mereka XXXX '', ''TIDAK'' melakukan ini, meskipun MEREKA mengatakan kepada saya bahwa mereka akan melakukannya. TOLONG KATAKAN '' B.B. T. BANK '' ... ... UNTUK MENGEMBALIKAN DANA SAYA XX/XX/XXXX XXXX XXXX XXXX XX/XX/XXXX XXXX XXXX XXXX PEMBELIAN KARTU CEK BB T {$320.00}. PLUS, KATAKAN '' B.B. T. BANK '' ... ... UNTUK MENGEMBALIKAN BIAYA TERLAMBAT SAYA SEPERTI KETIKA SAYA SETORKAN CEK DARI : XXXX XXXX XXXX XXXX MEREKA ( SEHARUSNYA BUANG CEK SAYA, KARENA SAYA SEKARANG MEMILIKI XXXX VA '' ... .ASURANSI UNTUK ANAK ISTRI SAYA ... .. ( KARENA SAYA VETERAN XXXX ). KARENA ITU, SAYA TIDAK MEMBUTUHKAN XXXX INI. JADI HARUS ''B.B. T. BANK '' UNTUK MENGEMBALIKAN {$320.00} ... ... ( SEBAGAI XXXX '' BERBOHONG KEPADA SAYA ), MEREKA KATAKAN SAYA HARUS MEMBAYAR INI!!! BARANG DARI LAPORAN KREDIT SAYA. PASTIKAN ''B.B. T. BANK'' ... ..JUGA MENGEMBALIKAN BIAYA TERLAMBAT SAYA sebesar $ XXXX-DOLAR YANG MEREKA BIAYAKAN SAYA JUGA. Terima kasih, XXXX ... ... ... BIAYA CerukanDapatkan pemberitahuan ini dengan cepat. Daftar untuk mendapatkan Peringatan BB T gratis. Versi Cetak Akun Anda tidak memiliki dana yang cukup untuk membayar XXXX item. BB T membayar item berikut (s). : {$36.00} {$36.00} - $ XXXXXX/XX/XXXX Periksa XXXX XXXX XXXX XXXX XXXX # XXXX Lihat {$140.00}. PERTAMANYA MEREKA HANYA MEMBERI SAYA KREDIT SEBESAR $ XXXX DOLAR, MESKIPUN MEREKA MENGETAHUI ATAU MEREKA MEMBERITAHU SAYA, BAHWA SEGERA SAYA MENDAPATKAN ' '' XXXX XXXX XXXX CHECK '' SEBESAR {$140.00} ... ..*DEPOSIT PERIKSA ... .... ( BB T. BANK HANYA MEMBERI SAYA KREDIT SEBESAR $ XXXX-DOLAR! *** MEMBUAT SAYA OVERDRAWEN ***;Fraud
756;Pada XXXX/XXXX/15 mobil saya dibobol di sebuah taman di XXXX XXXX ( XXXX, FL ). Pencuri mengambil seluruh dompet/dompet saya yang berisi SIM saya, Chase, XXXX XXXX, XXXX XXXX XXXX XXXX, kartu asuransi, STNK, dll. Laporan polisi telah diajukan ( XXXX, XXXX XXXX ). Saya segera menelepon perusahaan kartu saya, XXXX XXXX menjadi yang pertama, lalu Chase. Chase diberitahu bahwa kartu sementara dan kartu debit saya yang tidak aktif (saya baru saja menerimanya) beserta dompet dan semuanya telah diambil. Karyawan tersebut mengatakan kepada saya bahwa dia membatalkan kedua kartu tersebut dan tidak dapat mengirim yang baru melalui surat karena akun saya relatif baru. Jumat XXXX/XXXX/15 kartu XXXX XXXX baru saya tiba dan saya menelepon untuk mengaktifkannya, XXXX Saya pergi berbelanja, kartu baru ditolak - Saya menelepon XXXX dan mereka memberi tahu saya bahwa mereka memiliki penipu di bank sebelumnya, XXXX yang sama XXXX mengambil ID dan Kartu, ( @ XXXX XXXX, XXXX XXXX XXXX XXXX XXXX, FL XXXX, Cabang XXXX : XXXX XXXX XXXX ) - dia menyarankan untuk memeriksa ACCTS lain yang ada di dompet saya. Segera periksa aplikasi Chase saya dan sisa saldo adalah {$0,00} (mereka menarik {$750,00} dari akun saya). Saya segera menelepon Chase, menceritakan semuanya ( bagaimana saya mengetahuinya melalui XXXX XXXX dll ) dan mengajukan klaim ( KLAIM # XXXX ). Saya disuruh menelepon kembali alamat cabang saat transaksi diproses '' - Sabtu pagi ( XXXX/XXXX/15 ) .. Saya memeriksa Chase APP dan diproses, menelepon kembali departemen klaim untuk alamat cabang tempat penarikan terjadi ( @ CHASE, XXXX XXXX XXXX XXXX XXXX FL XXXX ). Yang mengejutkan saya, bahkan setelah kedua kejadian tersebut, akun saya MASIH BELUM DIBEKU demi keamanan/perlindungan saya.. sampai saya menelepon kembali XXXX Pagi (bahkan setelah menelepon mengenai pencurian informasi pada XX/XX/XXXX dan penipu pada hari Jumat XX/XX/XXXX ). Pembekuan tidak terjadi hingga XX/XX/XXXX. Pada hari Jumat XX/XX/XXXX saya menelepon untuk melihat status klaim saya dan status kredit ke rekening saya - saya sangat terkejut, saya diberitahu bahwa klaim saya DITOLAK, PENOLAKAN TETAP (tidak akan dibatalkan) karena kekurangan saya peduli ''? Saya mengatakan kepada mereka bahwa bank XXXX diberikan informasi yang sama, pada hari yang sama dan bagaimana hal ini bisa terjadi.. belum lagi KURANGNYA PERAWATAN pada bagian MEREKA/CHASE sehingga mereka tidak MEMBEKU akun saya atau memberi PERINGATAN ketika saya menelepon dengan informasi mengenai PENCURIAN dan SELANJUTNYA dengan klaim bahwa mereka memiliki PENIPU yang menarik semua dana saya. Saya tidak mengerti apakah ini pantas? Kita tidak hidup di negara dunia ke 3 yang korup, dimana hak konsumen/pelanggannya? Di manakah garis batas dimana institusi lalai dan bertindak tidak pantas dan bertentangan dengan bukti dimana semuanya didokumentasikan? Panggilan telepon, laporan polisi, bank XXXX dengan informasi yang sama, klien yang sama dengan tindakan berbeda? Tolong beri tahu saya apa yang dapat saya lakukan dari sini. Baik itu {$50,00} atau $1500+, itu adalah prinsip bahwa Chase tidak mematuhi apa yang diklaim oleh Bank yang diasuransikan. Saya sangat terkejut dengan keputusan ini dan kejadian yang menyebabkan tulisan ini dibuat. Saya berharap untuk mendengar dari Anda segera -;Fraud
757;Halo, Saya menerima email dari Union Bank mengenai pembaruan email, konfirmasi perubahan kata sandi, dan peringatan penarikan dalam jumlah besar pada rekening yang TIDAK saya miliki di bank ini. Saya sudah menghubungi mereka beberapa kali, mereka mengkonfirmasi dengan nomor jaminan sosial yang saya berikan, bahwa saya tidak memiliki rekening di bank ini. Untuk mengonfirmasi bahwa saya tidak memiliki rekening, karena mengira mungkin ada penipuan identitas, laporan kredit Experian menunjukkan bahwa saya tidak memiliki rekening di bank ini. Terakhir kali saya menghubungi mereka pada awal XXXX, saya dipindahkan untuk berbicara dengan manajer cabang setempat. Dia berkata bahwa dia akan menyelidiki dan menghubungi saya, namun hal itu tidak pernah terjadi. Singkatnya, saya menerima email Union Bank yang bukan milik saya, karena saya tidak memiliki rekening di bank ini. Menghubungi mereka tentang email tidak berhenti sampai saya menerima email ini. Siapapun pemilik akun ini, orang tersebut tidak akan menerima email tersebut. Terima kasihP.S. Akan melampirkan email. Mereka dikirim ke akun XXXX saya, yang telah saya siapkan untuk meneruskan ke akun email pribadi saya yang lain dengan XXXX.;Fraud
