IDE;Text;Fraud;Spam;Normal
257;"Pada tanggal XX/XX/XXXX ketika saya ingin menarik uang dari ATM, transaksi tersebut ditolak dan saya diminta untuk menghubungi bank saya. Saya kemudian masuk ke akun saya melalui iPad saya dan dengan terkejut mengetahui bahwa telah ada XXXX transaksi yang tidak sah (penarikan ATM dan POS) dengan total {$4700.00} yang dilakukan pada rekening checking PNC saya pada tanggal XX/XX/XXXX di Negara Bagian Michigan. Saya juga menemukan bahwa ada transaksi yang tidak sah ({$8.00}) di sebuah toko XXXX di Negara Bagian Michigan yang dilakukan pada tanggal XX/XX/XXXX. Saya segera melaporkan hal ini kepada perwakilan layanan pelanggan PNC yang kemudian memberi tahu saya bahwa mereka telah memblokir akun saya untuk membuat saya menelepon bank untuk memverifikasi apakah itu saya yang melakukan transaksi hari sebelumnya. Saya dengan jelas mengatakan kepadanya bahwa saya bukanlah orang yang melakukan transaksi tersebut dan saya tidak memberikan persetujuan atau otorisasi kepada siapa pun untuk melakukannya. Dia kemudian mengatakan bahwa dia akan mengkreditkan kembali biaya ATM dan biaya pengecekan saldo (total {$12.00}) yang didebitkan dari rekening. Dia kemudian mengajukan klaim pembalikan untuk semua transaksi yang tidak sah dan juga memberi saya nomor referensi XXXX untuk klaim yang diperselisihkan. Saya adalah XXXX dan untuk sementara waktu sekarang, telah keluar dari Amerika Serikat XXXX. Bahkan, saya meninggalkan negara tersebut pada XXXX ke XXXX di mana saya tinggal selama XXXX bulan kemudian pergi ke XXXX XXXX di mana saya tinggal dari XX/XX/XXXX hingga XX/XX/XXXX kemudian kembali ke XXXX untuk XXXX. Saya masih memiliki kartu debit PNC untuk rekening checking dan tidak pernah memberikan informasi akun kepada siapa pun. Untuk kejutan saya, saya menerima surat dari bank yang ditulis secara anonim menyatakan bahwa mereka telah menyelesaikan penyelidikan mereka dan tidak akan mengkreditkan kembali rekening saya dengan jumlah {$4700.00} untuk XXXX transaksi yang tidak sah. Saya kemudian menghubungi kembali pada tanggal XX/XX/XXXX dan berbicara dengan perwakilan lain yang kemudian mengajukan kembali klaim. Setelah itu, pada tanggal XX/XX/XXXX rekening checking saya dikreditkan hanya dengan {$8.00} untuk transaksi di XXXX dengan deskripsi (KREDIT PERSAHAAN TERAKHIR) yang berarti bahwa transaksi tidak sah lainnya yang berjumlah {$4700.00} ditolak. Saya telah mencoba beberapa kali untuk menghubungi seorang supervisor atau manajer yang bisa membantu menyelesaikan masalah ini tetapi tidak berhasil. Saya hanya dipindahkan untuk meninggalkan pesan suara ke kotak surat yang tidak ditentukan. Saya mengalami banyak ""putus telepon"" dan ""keliling"" dalam hal ini jadi saya memutuskan untuk menghubungi otoritas yang kompeten untuk membantu dalam penyelesaian.";1;0;0
258;Ada kelebihan biaya sebesar {$70.00} yang saya sedang menggugat. Ini berasal dari TD Bank yang mengenakan biaya {$35.00} per debit ketika debit menyebabkan saldo negatif. Saya memang menarik uang lebih dari yang tersedia di akun pada tanggal XXXX XXXX. Saya menerima biaya overdraft sebesar {$35.00} sebagai yang sesuai. Debit disesuaikan setiap hari. Ada XXXX debit pada tanggal XXXX XXXX, dan mereka dibuat berdasarkan dari yang tertinggi ke terendah. Dengan begitu, mereka dilakukan agar XXXX dari XXXX debit dibuat terhadap saldo negatif, sehingga menyebabkan XXXX biaya overdraft. Jika yang terbesar adalah yang terakhir, maka hanya akan ada XXXX debit terhadap saldo negatif, sehingga hanya ada XXXX biaya overdraft. Oleh karena itu, saya telah dibebani lebih dari {$70.00} karena XXXX dari XXXX biaya overdraft bisa dihindari oleh TD Bank. Kemungkinan bahwa XXXX transaksi akan, jika urutannya dipilih secara acak, diurutkan dari yang tertinggi ke terendah adalah XXXX dari XXXX. XXXX menggunakan protokol bahwa jika sebuah peristiwa kurang dari XXXX kemungkinan secara kebetulan, maka peristiwa tersebut tidak dapat dianggap sebagai peristiwa kebetulan. Oleh karena itu, saya menyimpulkan bahwa pengurutan untuk memaksimalkan biaya overdraft adalah disengaja. Jika keluhan serupa telah diterima terhadap bank TD, maka bukti niat akan lebih kuat daripada yang dapat disimpulkan dari keluhan ini saja.;1;0;0
259;Seseorang mengkloning kartu debit saya termasuk PIN saya dan menggunakannya di XXXX di XXXX FL pada tanggal XXXX/XXXX/2015 untuk XXXX dan XXXX menit kemudian mereka mengenakan biaya XXXX. Saya membuat laporan polisi dengan XXXX Polisi XXXX. Nomor kasus # XXXX tetapi mereka memberi tahu saya bahwa mereka tidak memiliki cukup orang untuk meninjau film XXXX. Regions Bank enggan mengembalikan uang saya jadi di masa depan saya tidak akan pernah menggunakan plastik lagi. Pergi ke XXXX dan cari tahu cara mengkloning kartu dan pelajari betapa mudahnya itu.;1;0;0
260;"Kepada Yang Terhormat: Saya akan menghargai jika Anda bisa memberikan penjelasan tentang situasi yang tidak menguntungkan yang terjadi pada saya dan keluarga saya. Pada tanggal XXXX XXXX, 2015, saya menemukan sebuah kesempatan pekerjaan berbasis rumah melalui email saya. Orang tersebut menyebut dirinya sebagai ""XXXX XXXX"", seorang supervisor dari XXXX surveys. Dia menjelaskan bahwa perusahaan sedang merekrut di daerah saya untuk kesempatan pekerjaan XXXX. Yang saya perlukan hanyalah mengisi aplikasi dengan alamat dan nomor telepon saya. Saya pikir ini adalah kesempatan bagus bagi saya untuk menghasilkan uang tambahan. Saya adalah seorang ibu dari XXXX anak dan saya tahu ini akan nyaman bagi saya untuk tinggal di rumah dan bekerja. Saya mengirim aplikasi tersebut dan XXXX hari kemudian, saya menerima email dari ""XXXX XXXX"" yang menyatakan bahwa saya telah diterima dan untuk mengonfirmasi email tersebut, dan kemudian dia akan mengirimkan kepada saya sebuah paket melalui pos prioritas berisi instruksi untuk tugas survei XXXX plus cek cashier's yang harus saya cairkan yang mencakup pembayaran untuk pekerjaan yang telah saya lakukan. Paket tersebut datang dalam XXXX hari, dan salah satu instruksinya adalah untuk mendepositkan atau menguangkan cek di bank saya, Bank of America. Saya memutuskan untuk menguangkan cek tersebut di teller bank agar tidak menghadapi risiko perusahaan melihat informasi rekening bank saya. Saya menguangkan cek tersebut di teller tanpa masalah sama sekali yang memberi saya keyakinan bahwa cek tersebut memang cek yang baik. Cek tersebut bernilai XXXX. Saya perlu mengirimkan XXXX ke XXXX XXXX dan mengamati layanan pelanggan di sana dan juga XXXX melalui XXXX XXXX dan melakukan hal yang sama juga. XXXX untuk kantong saya dan XXXX untuk membeli printer di XXXX yang merupakan survei pertama yang perlu saya selesaikan. Singkat cerita, saya menjadi korban penipuan seperti yang mungkin Anda ketahui sekarang. Saya menyadari kesalahan saya ketika melakukan penelitian di internet dan mendengar cerita orang lain yang telah menjadi korban. Segera setelah itu, cek tersebut diketahui sebagai palsu. Suami saya menelepon saya di pagi hari ketika dia mencoba untuk menarik ceknya dari tempat kerja karena dia mendapatkan deposit langsung dan menemukan bahwa dia tidak bisa menarik uangnya. Kami hidup dari satu cek ke cek berikutnya. Hal terakhir yang ingin saya lakukan adalah menempatkan anak-anak saya dalam bahaya dengan menguangkan cek palsu. Pukulan yang sangat menyakitkan datang ketika Bank of America (yang telah menjadi pelanggan setia kami selama bertahun-tahun) mengambil seluruh ceknya ditambah XXXX yang kami miliki di rekening itu. Segera setelah saya mengetahui bahwa cek tersebut palsu, saya menelepon bank untuk memberi tahu mereka tentang semua yang terjadi. Mereka menghubungkan saya ke bagian kecurangan dan saya menjelaskan situasinya kepada mereka. Mereka menyatakan bahwa meskipun saya adalah korban penipuan online, sayangnya, ini bukan klaim penipuan karena nama saya tertulis di cek dan saya telah menguangkan cek melalui rekening saya dan sayangnya saya bertanggung jawab untuk membayar seluruh XXXX. Mereka menyebutkan bahwa mereka akan mengatur rencana pembayaran tetapi bahwa mereka tidak bisa mengembalikan pembayaran deposit langsung suamiku dari pekerjaannya sebesar XXXX. Saya menjelaskan kepada mereka, ""Jadi Anda mengatakan bahwa meskipun kami telah menjadi pelanggan setia bagi Anda selama bertahun-tahun, Anda akan tetap menyita gaji suamiku?"" Saya membuat kehebohan besar dan analis ""XXXX"" di bagian kecurangan mengatakan bahwa dia akan berbicara dengan seseorang di departemen lain dan akan kembali kepada saya. Dia kemudian menelepon kembali dan mengatakan bahwa dana akan tersedia di rekening kami yang lain. Yang memprihatinkan bagi saya adalah bahwa sekarang kami bertanggung jawab atas uang ini... kami benar-benar tidak mampu membayar dan saya jujur percaya bahwa bank (yang cukup sehat secara finansial) akan dapat memaafkan kesalahan ini yang saya lakukan. Selain itu, perlakuan yang kami terima dengan tiba-tiba menyita cek suamiku sangat tidak perlu. Apakah ada cara Anda bisa membantu? Saya percaya bahwa bank dapat menahan cek sampai mereka bersih dan terutama ketika rekening kami jauh dari XXXX.";1;0;0
261;"Selama proses mengajukan kredit ekuitas rumah dari XXXX XXXX XXXX XXXX (XXXX), mereka menemukan jaminan yang diajukan oleh Chase XXXX XXXX XXXX (sekarang Chase Bank) atas properti saya yang terletak di XXXX XXXX XXXX, XXXX, NY XXXX. Detail jaminan yang diberikan kepada saya oleh XXXX dari dokumen XXXX XXXX XXXX XXXX adalah: 1. Hipotek yang dibuat oleh XXXX XXXX XXXX kepada Chase XXXX XXXX XXXX sebesar {$37000.00}, tanggal XXXX XXXX, XXXX, dan tercatat pada XXXX XXXX, XXXX, di XXXX XXXX dari Hipotek, halaman XXXX. CATATAN: Bukti harus diperoleh bahwa XXXX di atas telah dibayar lunas dan rekening diblokir untuk kegiatan lebih lanjut. 2. Hipotek yang dibuat oleh XXXX XXXX XXXX kepada Chase XXXX XXXX Bank sebesar {$13000.00}, tanggal XXXX XXXX, XXXX, dan tercatat pada XXXX XXXX, XXXX, di Liber XXXX dari Hipotek, halaman XXXX. CATATAN: Bukti harus diperoleh bahwa XXXX di atas telah dibayar lunas dan rekening diblokir untuk kegiatan lebih lanjut. CATATAN: Hipotek di atas dimodifikasi dan digabungkan sehingga membentuk jaminan tunggal sebesar {$50000.00} dan bunga menurut kesepakatan tanggal XXXX XXXX, XXXX, dan tercatat pada XXXX XXXX, XXXX, di XXXX XXXX dari Hipotek, halaman XXXX. Saya menelepon Chase Bank dan meminta perwakilan mereka untuk membantu saya menghapus jaminan. Perwakilan tersebut tidak dapat menemukan apa pun yang terkait dengan alamat properti, nomor jaminan sosial saya, atau nama saya dan menyarankan agar saya mengunjungi cabang Chase Bank lokal di XXXX, NY. Saya mengunjungi cabang Chase Bank yang terletak di XXXX XXXX XXXX, XXXX, NY XXXX pada XXXX XXXX, XXXX, dan bertemu dengan XXXX XXXX. Dia juga mencari catatan Chase untuk alamat properti, nama saya, dan nomor jaminan sosial saya dan, seperti perwakilan Chase online, tidak menemukan referensi apa pun dari pencarian tersebut. Karena tidak ada referensi tentang properti saya - apalagi jaminan pada properti saya - dalam catatan Chase, saya memintanya untuk menulis surat menyatakan bahwa tidak ada jaminan atas properti tersebut dan memberi tahu Kantor Pendaftar Kabupaten XXXX agar catatan mereka dapat diperbarui dan memberikan saya salinan surat tersebut untuk arsip saya. Dia mengatakan bahwa dia tidak bisa melakukannya. Namun, dia meyakinkan saya bahwa dia bisa mendapatkan seseorang di Chase untuk mengajukan dokumen yang diperlukan untuk menghapus jaminan dari properti saya. Saya memberikan XXXX XXXX salinan halaman yang merujuk pada jaminan yang dikirimkan oleh XXXX. Saya telah menghubungi XXXX XXXX beberapa kali sejak XXXX XXXX dan setiap kali dia meyakinkan saya bahwa dia sedang mengatasi masalah ini dan bahwa itu akan diselesaikan dalam beberapa minggu. Pada XXXX XXXX saya mengirimkan email kepada XXXX XXXX menunjukkan bahwa sekitar sebulan telah berlalu sejak pertemuan kami di XXXX XXXX dan bahwa saya ingin tahu apa status pertanyaan saya. Dia tidak segera menanggapi jadi saya mengirimkan email lagi pada XXXX XXXX meminta laporan status. Dia merespons pada XXXX XXXX dan menulis bahwa dia telah bekerja dengan ""XXXX-Star"" (saya berasumsi ini adalah perusahaan pencarian judul yang menemukan jaminan) dan mereka tidak membantu. Dalam email itu dia juga menulis bahwa ""Chase memberitahu saya bahwa biaya untuk melakukan secara pribadi tinggi. Saya akan menghubungi XXXX XXXX untuk mendapatkan lebih banyak informasi tentang proses ini dan kemudian saya akan menghubungi Anda kembali pada sore hari ini."" Saya tidak mendengar kabar dari XXXX XXXX - atau siapa pun di Chase Bank - tentang ini sejak saat itu. Saya akan melampirkan salinan PDF yang saya terima dari XXXX yang merujuk pada jaminan dan salinan pertukaran email yang saya miliki dengan XXXX XXXX, jika memungkinkan. Tolong beri tahu.";1;0;0
262;Saya membuka rekening Bank of America pada XXXX dengan saldo {$25.00} dan berencana menggunakannya sebagai rekening cadangan. Saya lupa, sampai hari ini ketika saya menerima laporan rekening dari mereka yang menunjukkan bahwa saya berutang sebesar {$23.00}. Karena tidak pernah menggunakan rekening tersebut, saya penasaran apa yang terjadi. Saya menelepon dan mereka memberi tahu saya bahwa berdasarkan syarat dan ketentuan mereka, mereka membebankan biaya beberapa kali ke rekening tersebut. Saya meminta mereka untuk membatalkan biaya-biaya tersebut dan menutup rekening tersebut. Mereka menolak. Saya percaya ini terjadi pada ribuan warga negara lainnya. Saya berbicara dengan XXXX XXXX dan XXXX XXXX pada XXXX XXXX. Mereka menyatakan bahwa rekening tersebut telah diakses dengan biaya sebesar {$11.00} XXXX kali dan saya telah berpindah dari saldo positif sebesar {$25.00} menjadi saldo negatif sebesar {$23.00} dan berdasarkan syarat dan ketentuan, mereka dapat dan akan terus membebankan biaya pada rekening tersebut. Ini berarti mereka mendapatkan {$48.00} dari rekening tanpa aktivitas. Sekali lagi, saya merasa praktik ini sangat menyesatkan kecuali jika Anda membaca kesepakatan mereka di halaman kesepakatan XXXX font, Anda akan menemukan bahwa mereka akan membebankan biaya pada Anda. Informasi tersebut perlu sangat jelas di depan, dan mereka seharusnya memberi tahu pelanggan mereka jika dan kapan mereka akan membebankan biaya semacam ini, memberi mereka kesempatan untuk menutup rekening atau mendanainya hingga level yang memadai. Hal ini tidak pernah dilakukan. Saya yakin Bank of America mendapatkan keuntungan besar dari kebijakan ini yang menjadi pajak, terutama bagi mereka yang berpenghasilan rendah.;1;0;0
263;"Pada hari Sabtu, XXXX XXXX, 2015, saya melakukan setoran uang giro sebesar lima puluh delapan ( {$58.00} ) dolar di XXXX. Sampai hari Selasa, XXXX XXXX, 2015, cek saya belum dicairkan. Meskipun itu adalah hari libur nasional, bank tidak tutup dan terus beroperasi. Mengapa mereka menahan dana saya yang sedikit ini?

Keprihatinan saya yang lain adalah bahwa Bank of America secara otomatis mentransfer dua puluh lima ( {$25.00} ) dolar dari rekening checking saya ke rekening tabungan saya pada tanggal XXXX setiap bulannya. Saya harus menyetujui transaksi ini untuk mendapatkan manfaat dari layanan tertentu. Yang sebenarnya, Bank of America ingin menggunakan uang penyimpan untuk memenuhi regulasi ""dana aman"" yang ditetapkan oleh pemerintah federal.

Keprihatinan terakhir saya adalah bahwa slip setoran saya dari hari Sabtu ( XXXX XXXX, 2015 ) memiliki tanggal yang salah, yaitu XXXX XXXX, 2015.

Bagaimana mungkin nama perusahaan ( Bank of America ) dituduh melakukan kelalaian dan bukan nama individu yang memimpin bank yang bertanggung jawab atas tindakan yang salah dan tidak diberi label sebagai penjahat?";1;0;0
264;"Saya adalah pelanggan Citibank yang baru-baru ini menjadi korban penipuan yang melibatkan Bank XXXX (XXXX) yang membuat saya kehilangan {$2000.00}. Meskipun saya telah mengajukan pengaduan penipuan dan laporan polisi kepada Citibank, departemen penipuan mereka menolak untuk membantu mengambil kembali dana dari Bank XXXX, yang hanya akan berurusan dengan Citibank. Akibatnya, saya tidak dapat mengambil dana dari Bank XXXX yang saya yakin dibekukan di rekening penipu di Bank XXXX.

Pada bulan XXXX, saya memasang iklan online di situs web perumahan Universitas XXXX XXXX untuk mencari teman sekamar/pengasuh anjing. Penipu tersebut menjawab, merujuk pada iklan Universitas XXXX XXXX dan berpura-pura menjadi mahasiswa XXXX. ""Dia"" mengirimkan cek dari ""ayahnya"" untuk pembayaran sewa dan deposito keamanan. Sayangnya, cek ""penyewa"" tersebut ternyata palsu dan diterbitkan oleh XXXX XXXX dengan jumlah {$2900.00} pada tanggal XX/XX/XXXX dan ditandatangani oleh XXXX XXXX. Setelah saya menyetor cek tersebut ke rekening Citi saya, mereka menghubungi saya mengenai ""kelebihan pembayaran"" dan meminta saya untuk MENGIRIM kembali uang tersebut karena ""penyewa"" membutuhkannya untuk membeli mobil.

Pada tanggal XX/XX/XXXX, saya mengirimkan {$2000.00}, ditambah biaya transfer dana sebesar {$40.00}, dari rekening Citibank saya ke nama dan informasi rekening berikut, yang telah dikirimkan kepada saya oleh penipu:
Nama: XXXX XXXX
Bank: XXXX (XXXX)
Alamat Bank: XXXX XXXX XXXX XXXX, XXXX XXXX XXXX XXXX XXXX
Nomor Rekening: XXXX XXXX

Tentu saja, cek ""penyewa"" tersebut dicabut. Saya mengetahui penipuan tersebut pada tanggal XX/XX/XXXX, ketika penyewa tidak muncul pada tanggal pindahnya. Saya segera menghubungi Citibank dan Departemen Polisi XXXX XXXX untuk mencari pengembalian dana. Departemen Polisi XXXX XXXX menerima laporan kejadian yang dilampirkan, yang kemudian saya faks ke departemen penipuan Citibank.

Saya juga berbicara dengan XXXX XXXX, seorang Manajer Investigasi di XXXX XXXX - penerbit cek palsu tersebut, yang telah menentukan (1) bahwa XXXX Bank (XXXX) sudah mengetahui bahwa Nomor Rekening XXXX XXXX telah digunakan untuk melakukan penipuan kawat, (2) bahwa XXXX Bank telah membekukan Rekening XXXX XXXX karena tuduhan tersebut, (3) bahwa uang tetap berada di Rekening Beku XXXX XXXX, dan (4) bahwa XXXX Bank kemungkinan besar akan bersedia mengembalikan dana dari Rekening XXXX XXXX XXXX berdasarkan perjanjian ganti rugi YANG DITERBITKAN OLEH CITIBANK untuk mencari pengembalian transfer yang ditipu.

Saya berbicara dengan perwakilan di Departemen Penipuan Citibank beberapa kali antara tanggal XX/XX/XXXX, dan XX/XX/XXXX, meminta agar Citibank mengirim surat permintaan kepada XXXX Bank untuk mengembalikan {$2000.00} yang ditransfer melalui kawat kepada penipu pada tanggal XX/XX/XXXX.

Pada tanggal XX/XX/XXXX, Departemen Penipuan Citibank mengirim tanggapan terhadap keluhan penipuan saya (Nomor Referensi XXXX XXXX), yang mengatakan:
Kami telah menyelesaikan penelitian kami mengenai permintaan Anda untuk pemulihan kawat dari kawat yang terdaftar di bawah ini. Bank Penerima mengkonfirmasi kredit pada tanggal XX/XX/XXXX untuk XXXX. ANDA HARUS MENGHUBUNGI BANK PENERIMA LANGSUNG UNTUK MENYUSUN PENGAJUAN UNTUK MENGEMBALIKAN DANA KEPADA ANDA.

Sejak itu, saya telah menghubungi XXXX Bank (penerima) langsung dan bank tersebut menolak berurusan dengan siapa pun selain Citibank. Penolakan Citibank untuk membantu membuat saya tidak memiliki pilihan lain untuk mengambil kembali uang saya yang dicuri.";1;0;0
265;Saya memiliki rekening tabungan dan kartu debit dengan TD Bank di XXXX, NY. Karena saya adalah mahasiswa XXXX, saya pikir ini adalah cara yang aman untuk melakukan transaksi keuangan. Kartu debit tersebut terhubung ke rekening tabungan untuk perlindungan overdraft yang sebenarnya saya tidak yakin akan manfaatnya. Bahkan, ternyata bukanlah sebuah keuntungan tetapi merupakan cara untuk melindungi bank jika informasi dicuri, di mana pada XXXX XXXX kartu saya bersama dengan dokumen perbankan saya dicuri. Dua hari kemudian, saya menyadari bahwa kartu dan dokumen saya hilang dan saya memeriksa akun saya secara online. Pada tanggal XXXX/XXXX/15, sebuah cek palsu sebesar {$1300.00} disetor ke rekening cek/debit saya. Dalam waktu 2 hari, sebesar {$1600.00} ditarik dari rekening cek dan tabungan saya, meninggalkan saya tanpa uang dan saldo negatif karena biaya overdraft yang harus saya bayar menurut TD Bank, atau koleksi akan dimulai. Ayah saya membayar sisa saldo untuk mencegah saya dari masuk ke koleksi dan merusak rating kredit saya. TD Bank menginstruksikan kami untuk membuat laporan polisi di XXXX yang kami lakukan. Sebuah penyelidikan oleh TD dibuka dan ditutup dengan cepat dengan menyatakan bahwa tidak ada tindakan yang akan diambil oleh mereka karena informasi yang diperoleh pencuri. Cek palsu tersebut disetor di TD Bank di XXXX NY. Kami bertanya apakah kami bisa melihat rekaman video dan kami ditolak. Mereka menutup kasus tersebut dan mengatakan bahwa kami harus pergi ke departemen kepolisian XXXX untuk membuat laporan agar kemungkinan bisa melihat video. Saya merasa jika saya melihat video tersebut, saya mungkin bisa mengidentifikasi orangnya untuk menekan tuntutan tetapi TD Bank hanya tertarik untuk mendapatkan pembayaran biaya overdraft mereka. Sekarang saya bekerja XXXX pekerjaan untuk mencoba mendapatkan kembali kerugian saya karena pelajaran berat yang saya pelajari.;1;0;0
266;Pada tanggal XX/XX/XXXX, dompet saya dicuri di XXXX. Mereka mencuri dompet saya (kartu debit, kartu kredit, cek, kartu medis, XXXX set kunci mobil, uang tunai, dll). Saya harus menutup semua rekening saya, mentransfer uang, menonaktifkan kartu, semua hal tersebut. Institusi keuangan utama saya adalah Union Bank of CA, saya telah menjadi nasabah mereka sejak XX/XX/XXXX. Saya bisa jujur mengatakan bahwa selain dompet saya dicuri, Union Bank menambah stres saya dengan kurangnya layanan pelanggan dan perhatian terhadap saya sebagai nasabah, dan belum lagi saya masih belum mendapatkan uang yang dicuri dari rekening saya. Saya pergi ke bank pada hari Minggu sore di XXXX XXXX XXXX yang berlokasi di XXXX, CA untuk membuka rekening baru. Sebelum uang saya dicuri, saya memiliki XXXX di rekening checking saya dan XXXX di rekening tabungan. Saya memiliki XXXX biaya transaksi yang menipu totalnya XXXX yang meninggalkan rekening checking saya pada saldo pada XXXX dan tabungan saya pada saldo XXXX. Karena ada kecurangan, saya mentransfer XXXX ke tabungan saya meninggalkan saya dengan saldo XXXX (total checking dan savings) dan sedikit kembalian. Saya membuka rekening checking baru saya pada hari Minggu tanggal XXXX, saya dan teller XXXX mentransfer XXXX (checking yang tersedia) ke rekening checking baru saya dan mengambil XXXX tunai yang meninggalkan saya dengan saldo XXXX (rekening checking baru) dan masih menjaga saldo pada XXXX di tabungan saya. Perhatikan bahwa XXXX sudah dicuri jadi semua uang ini masih belum terhitung dan saya masih kekurangan {$100.00} dari tagihan. Setelah saya meninggalkan teller, saya melihat rekening bank saya XX/XX/XXXX dan melihat saldo XXXX di rekening checking termasuk kredit dari XXXX dan potongan dari XXXX XXXX dan overdraft dari XXXX di tabungan saya dan XXXX di rekening checking baru saya. Jadi langkah selanjutnya yang saya ambil adalah kembali ke bank, saya berbicara dengan manajer XXXX dan dia sendiri juga bingung karena apa yang terjadi pada rekening saya. XXXX melanjutkan untuk membuat rekening saya menjadi positif dari negatif, dengan saldo XXXX yang tersedia bagi saya saat itu. Dengan dia melakukan ini, itu meninggalkan saya dengan XXXX (tabungan) dan XXXX di rekening checking saya karena cek telah dipotong sebesar XXXX. Setelah melakukan semua ini, ini meninggalkan saldo checking saya yang curang menjadi XXXX karena pembayaran yang tertunda dari kecurangan belum diposting ke rekening saya. Maju cepat ke hari Kamis, saya mengajukan semua dokumen yang tepat ke Union Bank karena klaim saya lebih dari XXXX dan XXXX memberi tahu saya bahwa saya akan berhubungan dengan departemen Klaim. Saya menelepon dan berbicara dengan departemen Klaim dan mereka memberi tahu saya bahwa saya akan menerima kredit sementara untuk menutupi jumlah yang overdraft dari biaya kecurangan. Perhatikan bahwa saya sebagai nasabah juga masih kehilangan XXXX saya sendiri, saya masih belum menyentuh uang tersebut dan tidak ada saldo yang belum dikreditkan ke rekening baru saya dalam uang yang hilang bagi saya sebagai nasabah. Yang dilakukan departemen klaim hanyalah memberikan uang Union Bank kembali ke rekening mereka sendiri untuk membersihkan rekening checking saya yang curang dan meninggalkannya pada saldo XXXX! Sekarang sudah tanggal XXXX XXXX, saya sudah menelepon departemen klaim, berbicara dengan para perwakilan layanan pelanggan biasa, saya sudah berbicara dengan supervisor di bank, dan bahkan sudah berbicara dengan perwakilan yang membuka rekening saya dan saya sudah ditolak ke departemen lain atau saya sudah diberi tahu bahwa saya salah tanpa ada yang benar-benar mendengarkan apa yang saya katakan sebelum mereka membuat kesimpulan berdasarkan apa yang mereka lihat dari layar komputer, dan setelah saya menyelesaikan rekening saya, saya tidak akan lagi menjadi nasabah dengan Union Bank!;1;0;0
267;Saya telah melakukan perbankan dengan SunTrust Bank, XXXX. Mereka menjalankan semua kredit dan deposit pada akhir hari kerja. Ketika mereka menjalankan debit, mereka mulai dengan yang tertinggi dan turun ke yang terendah. Mereka melakukan ini untuk mengekstrak biaya overdraft tambahan dan tidak menolak pembayaran ketika rekening Anda kelebihan dana. Saya baru saja mengalami situasi di mana saya memiliki sekitar {$450.00} di rekening saya dan deposit {$360.00} memberi saya kredit sebesar {$820.00}. Saya melakukan beberapa penarikan pada XXXX/XXXX/2015 seperti yang tercantum di bawah ini: {$7.00} {$23.00} {$29.00} {$46.00} {$85.00} {$280.00} $ XXXX $ XXXXNamun, saya melakukan penarikan {$280.00} terlambat dalam hari tersebut dan tidak ditolak penggunaan kartu bank saya, jadi saya pikir saya memiliki cukup dana untuk ditutupi. Tapi saya menerima bahwa saya kelebihan dana. Namun, komputer SunTrust menarik dari rekening saya mengambil utang tertinggi XXXX dan untuk mengenakan biaya lebih banyak biaya bank. Karena praktik ini, saya dikenakan biaya {$38.00} untuk cek XXXX dengan total {$150.00}. Sedangkan jika mereka memulai dengan jumlah utang terendah, yang adalah cara itu muncul di kedua pernyataan saya dan online, saya hanya akan dikenakan biaya keterlambatan XXXX sebesar {$38.00}. Hari berikutnya, saya menyetor {$200.00}, tetapi karena tambahan {$110.00} dalam biaya, saya dikenakan biaya keterlambatan tambahan {$38.00}. Meskipun saya bersedia menerima tanggung jawab atas kelebihan dana rekening saya, saya merasa bahwa SunTrust, XXXX menggunakan metode untuk mengekstrak biaya sebanyak mungkin dan terus memungkinkan pelanggan untuk mengakses dana ketika mereka kelebihan dana. Jika saya ditolak saat melakukan pembayaran {$280.00} dengan kartu debit saya, saya akan tahu bahwa saya tidak memiliki dana untuk menutupi pembayaran tersebut dan saya tidak akan melakukannya atau saya akan memeriksa rekening saya untuk mengetahui mengapa saya tidak memiliki dana. Saya jujur tidak marah tentang dikenakan biaya ketika saya melebihi batas rekening saya. Itu adil. Tetapi metode perhitungan mereka serta membiarkan saya terus mengakses dana ketika mereka tidak tersedia tanpa peringatan tidak adil dan saya merasa ditipu.;1;0;0
